module,input_shape,output_shape,explain
patch,"[[1, 1, 28, 1000]]","[1, 32, 1, 31]","Embed raw EEG into temporal tokens using temporal, spatial, and pooling convolutions."
proj,"[[1, 31, 32]]","[1, 31, 40]",Project patch channels into the shared embedding dimension.
pos,"[[1, 31, 40]]","[1, 31, 40]",Add learnable positional encoding to preserve token order.
branch1,"[[1, 40, 31]]","[1, 40, 31]",Coarse temporal branch with larger ConvTime kernels.
branch2,"[[1, 40, 31]]","[1, 40, 31]",Fine temporal branch with smaller ConvTime kernels.
self_1.0,"[[1, 31, 40]]","[1, 31, 40]",Intra-branch self-attention for the coarse branch.
self_2.0,"[[1, 31, 40]]","[1, 31, 40]",Intra-branch self-attention for the fine branch.
cross.0,"[[1, 31, 40], [1, 31, 40]]","[[1, 31, 40], [1, 31, 40]]",Bidirectional cross-attention for dual-scale interaction.
token_attn,"[[1, 2, 31, 40]]","[1, 2, 31, 1]",Learn token weights before pooling each branch.
classifier,"[[1, 80]]","[1, 2]",Classify pooled dual-branch features.
softmax,"[1, 2]","[1, 2]",Convert class logits into prediction probabilities.
