dataset,strategy,split,trial_index,class_index,class_name,predicted_index,predicted_name,is_correct,confidence,probabilities_json,waveform_png,saliency_png,probability_png,npz
BCIC_IV_2a,LOSO,Subject0,240,0,left hand,0,left hand,1,0.999396562576294,"{""0"": 0.999396562576294, ""1"": 7.125627598725259e-05, ""2"": 0.00027103553293272853, ""3"": 0.00026109343161806464}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2a/BCIC_IV_2a_Subject0_class0_trial0_idx240.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2a/BCIC_IV_2a_Subject0_class0_trial0_idx240.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2a/BCIC_IV_2a_Subject0_class0_trial0_idx240.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2a/BCIC_IV_2a_Subject0_class0_trial0_idx240.npz
BCIC_IV_2a,LOSO,Subject0,353,0,left hand,0,left hand,1,0.9992589354515076,"{""0"": 0.9992589354515076, ""1"": 4.800709939445369e-05, ""2"": 0.0004840575566049665, ""3"": 0.0002089037443511188}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2a/BCIC_IV_2a_Subject0_class0_trial1_idx353.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2a/BCIC_IV_2a_Subject0_class0_trial1_idx353.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2a/BCIC_IV_2a_Subject0_class0_trial1_idx353.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2a/BCIC_IV_2a_Subject0_class0_trial1_idx353.npz
BCIC_IV_2a,LOSO,Subject0,221,0,left hand,0,left hand,1,0.9992300271987915,"{""0"": 0.9992300271987915, ""1"": 0.00014642973837908357, ""2"": 0.0005445577553473413, ""3"": 7.899819320300594e-05}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2a/BCIC_IV_2a_Subject0_class0_trial2_idx221.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2a/BCIC_IV_2a_Subject0_class0_trial2_idx221.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2a/BCIC_IV_2a_Subject0_class0_trial2_idx221.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2a/BCIC_IV_2a_Subject0_class0_trial2_idx221.npz
BCIC_IV_2a,LOSO,Subject0,63,1,right hand,1,right hand,1,0.998992383480072,"{""0"": 0.00020044132543262094, ""1"": 0.998992383480072, ""2"": 0.00038765568751841784, ""3"": 0.00041958907968364656}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2a/BCIC_IV_2a_Subject0_class1_trial0_idx63.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2a/BCIC_IV_2a_Subject0_class1_trial0_idx63.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2a/BCIC_IV_2a_Subject0_class1_trial0_idx63.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2a/BCIC_IV_2a_Subject0_class1_trial0_idx63.npz
BCIC_IV_2a,LOSO,Subject0,524,1,right hand,1,right hand,1,0.9989728927612305,"{""0"": 0.00019448192324489355, ""1"": 0.9989728927612305, ""2"": 0.0007424202631227672, ""3"": 9.029219654621556e-05}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2a/BCIC_IV_2a_Subject0_class1_trial1_idx524.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2a/BCIC_IV_2a_Subject0_class1_trial1_idx524.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2a/BCIC_IV_2a_Subject0_class1_trial1_idx524.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2a/BCIC_IV_2a_Subject0_class1_trial1_idx524.npz
BCIC_IV_2a,LOSO,Subject0,319,1,right hand,1,right hand,1,0.998767614364624,"{""0"": 0.0004794888664036989, ""1"": 0.998767614364624, ""2"": 0.0002631469687912613, ""3"": 0.0004897852777503431}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2a/BCIC_IV_2a_Subject0_class1_trial2_idx319.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2a/BCIC_IV_2a_Subject0_class1_trial2_idx319.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2a/BCIC_IV_2a_Subject0_class1_trial2_idx319.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2a/BCIC_IV_2a_Subject0_class1_trial2_idx319.npz
BCIC_IV_2a,LOSO,Subject0,199,2,feet,2,feet,1,0.9987720847129822,"{""0"": 0.0005998993292450905, ""1"": 0.00037697539664804935, ""2"": 0.9987720847129822, ""3"": 0.0002510170452296734}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2a/BCIC_IV_2a_Subject0_class2_trial0_idx199.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2a/BCIC_IV_2a_Subject0_class2_trial0_idx199.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2a/BCIC_IV_2a_Subject0_class2_trial0_idx199.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2a/BCIC_IV_2a_Subject0_class2_trial0_idx199.npz
BCIC_IV_2a,LOSO,Subject0,266,2,feet,2,feet,1,0.9984462857246399,"{""0"": 0.0008283849456347525, ""1"": 0.0002471597690600902, ""2"": 0.9984462857246399, ""3"": 0.00047820547479204834}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2a/BCIC_IV_2a_Subject0_class2_trial1_idx266.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2a/BCIC_IV_2a_Subject0_class2_trial1_idx266.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2a/BCIC_IV_2a_Subject0_class2_trial1_idx266.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2a/BCIC_IV_2a_Subject0_class2_trial1_idx266.npz
BCIC_IV_2a,LOSO,Subject0,575,2,feet,2,feet,1,0.9982700347900391,"{""0"": 0.0007824534550309181, ""1"": 0.0006798954564146698, ""2"": 0.9982700347900391, ""3"": 0.00026757619343698025}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2a/BCIC_IV_2a_Subject0_class2_trial2_idx575.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2a/BCIC_IV_2a_Subject0_class2_trial2_idx575.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2a/BCIC_IV_2a_Subject0_class2_trial2_idx575.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2a/BCIC_IV_2a_Subject0_class2_trial2_idx575.npz
BCIC_IV_2a,LOSO,Subject0,36,3,tongue,3,tongue,1,0.9994452595710754,"{""0"": 0.00019965879619121552, ""1"": 0.00019784807227551937, ""2"": 0.00015716598136350513, ""3"": 0.9994452595710754}",/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/waveforms/BCIC_IV_2a/BCIC_IV_2a_Subject0_class3_trial0_idx36.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/saliency/BCIC_IV_2a/BCIC_IV_2a_Subject0_class3_trial0_idx36.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/figures/probabilities/BCIC_IV_2a/BCIC_IV_2a_Subject0_class3_trial0_idx36.png,/home/mazhiyuan/QZH/competition_materials/dsainet_demo/samples_npz/BCIC_IV_2a/BCIC_IV_2a_Subject0_class3_trial0_idx36.npz
